 Use Code,Use,TreatmentTherapeutic_Area
U-1392 ,method relieving preventing constipation human patient opioid-induced constipation,['GASTROENTEROLOGY (105) ']
U-1391 ,method treating opioid-induced constipation,['GASTROENTEROLOGY (105) ']
U-739 ,method treating constipation opening cic channels mammalian subject,['GASTROENTEROLOGY (105) ']
U-1404 ,method treating constipation patient opioid-induced constipation opening cic channels,['GASTROENTEROLOGY (105) ']
U-1203 ,method relieving treating constipation human constipated patient,['GASTROENTEROLOGY (105) ']
U-1393 ,method relieving treating constipation patient opioid-induced constipation,['GASTROENTEROLOGY (105) ']
U-1214 ,method relieving constipation human patient comprises administering patient dosage unit comprising (i) 24mcg+/- 10% drug substance (ii) pharmaceutically suitable excipient,['ENDOCRINOLOGY (229) ']
U-1394 ,method relieving constipation patient opioid-induced constipation comprises administering patient dosage unit comprising(i)24microg+/- 10% drug substance (ii) pharmaceutically suitable excipient,['GASTROENTEROLOGY (105) ']
U-1345 ,use relieving preventing constipation human patient dosage unit comprising 24microg+/- 10% drug substance pharmaceutically suitable excipient,['GASTROENTEROLOGY (105) ']
U-1395 ,use relieving preventing constipation patient opioid-induced constipation dosage unit comprising 24microg +/- 10% drug substance pharmaceutically suitable excipient,['GASTROENTEROLOGY (105) ']
U-1520 ,method long term treatment chronic constipation human subject,['FAMILY MEDICINE (624) ']
U-874 ,method treating constipation patient irritable bowel syndrome,['GASTROENTEROLOGY (105) ']
U-873 ,method treating constipation patient irritable bowel syndrome opening chloride channels (cic),['GASTROENTEROLOGY (105) ']
U-1085 ,method treating irritable bowel syndrome method treating abdominal discomfort associated irritable bowel syndrome,['GASTROENTEROLOGY (105) ']
U-1202 ,method relieving treating constipation patient irritable bowel syndrome,['GASTROENTEROLOGY (105) ']
U-1519 ,method long term treatment chronic constipation human subject irritable bowel syndrome,['FAMILY MEDICINE (624) ']
U-1167 ,prophylaxis deep vein thrombosis (dvt),['HEMATOLOGY (135) ']
U-1502 ,prophylaxis pulmonary embolism,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2029 ,preventing condition characterized undesired thrombosis,['HEMATOLOGY (135) ']
U-2030 ,prophylaxis venous thrombosis,['HEMATOLOGY (135) ']
U-2034 ,inhibiting coagulation,['FAMILY MEDICINE (624) ']
U-2035 ,prophylaxis venous thromboembolism,['FAMILY MEDICINE (624) ']
U-2439 ,"treatment menopause symptoms, including vasomotor symptoms",['FAMILY MEDICINE (624) ']
U-2335 ,treatment melanoma,['FAMILY MEDICINE (624) ']
U-2336 ,treatment melanoma mediated b-raf protein kinase,['FAMILY MEDICINE (624) ']
U-2337 ,indicated combination binimetinib treatment melanoma braf mutation,['ONCOLOGY (263) ']
U-2334 ,treatment melanoma braf mutation,['DERMATOLOGY (109) ']
U-2145 ,treatment adult patients mantle cell lymphoma received least one prior therapy,['ONCOLOGY (263) ']
U-1571 ,treatment gaucher disease type 1,['FAMILY MEDICINE (624) ']
U-1617 ,method treating medullary thyroid cancer,['ONCOLOGY (263) ']
U-2412 ,treatment patients chronic lymphocytic leukemia (cll) and/or small lymphocytic leukemia (sll),['ONCOLOGY (263) ']
U-2413 ,treatment patients follicular lymphoma (fl),['HEMATOLOGY (135) ']
U-901 ,prevention postoperative nausea vomiting,['ONCOLOGY (263) ']
U-1743 ,prevention nausea vomiting associated chemotherapy,['ONCOLOGY (263) ']
U-2447 ,treatment severe hypertriglyceridemia (500 mg/dl) adult patients adjunct diet,['FAMILY MEDICINE (624) ']
U-1511 ,treatment hypertriglyceridemia,['FAMILY MEDICINE (624) ']
U-1600 ,dosage modification following elevated liver enzymes treatment idiopathic pulmonary fibrosis,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1609 ,continued dosing dosage modification following elevated liver enzymes treatment idiopathic pulmonary fibrosis,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1601 ,dose escalation 14 days treatment idiopathic pulmonary fibrosis,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1602 ,method administering pirfenidone capsules treat fibrotic condition,['FAMILY MEDICINE (624) ']
U-1603 ,method administering pirfenidone reduce drug interactions fluvoxamine,['FAMILY MEDICINE (624) ']
U-1604 ,method administering pirfenidone reduce drug interactions strong inhibitor cyp1a2,['FAMILY MEDICINE (624) ']
U-1605 ,method administering pirfenidone avoid reduced efficacy discontinuing smoking discontinuing avoiding another strong cyp1a2 inducer,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1606 ,method administering pirfenidone avoiding discontinuing concomitant use moderate strong inhibitor cyp1a2 another cyp enzyme involved pirfenidone metabolism,['FAMILY MEDICINE (624) ']
U-1607 ,method administering dosage form includes granulate formulation pirfenidone treat fibrotic condition,['FAMILY MEDICINE (624) ']
U-2361 ,"method administering granulate formulation 5-methyl-1-phenyl-2-(1h)-pyridone recited claim 1, treat idiopathic pulmonary fibrosis",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1608 ,dose escalation 14 days treatment fibrosis condition,['FAMILY MEDICINE (624) ']
U-1610 ,continued dosing dosage modification following elvated liver enzymes use pirfenidone,['FAMILY MEDICINE (624) ']
U-1611 ,method administering pirfenidone avoid reduced efficacy discontinuing smoking discontinuing strong cyp1a2 inducer,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1612 ,method administering pirfenidone avoid reduced efficacy avoiding smoking avoiding another strong cyp1a2 inducer,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1613 ,dosage modification treatment pirfenidone reduce drug interactions ciprofloxacin,['FAMILY MEDICINE (624) ']
U-1669 ,"treatment multiple myeloma, combination bortezomib dexamethasone",['FAMILY MEDICINE (624) ']
U-2371 ,treatment fabry patients,['FAMILY MEDICINE (624) ']
U-2372 ,method reducing left ventricular mass index (lvmi) fabry patient administering migalastat,['FAMILY MEDICINE (624) ']
U-2373 ,method reducing podocyte globotriaosylceramide (gl-3) fabry patient administering migalastat,['FAMILY MEDICINE (624) ']
U-1086 ,treatment autoimmune disease,['FAMILY MEDICINE (624) ']
U-2315 ,treatment multiple sclerosis pediatric patient population 0.25 mg fingolimod,['FAMILY MEDICINE (624) ']
U-2477 ,treatment non-24 hour sleep-wake disorder avoiding use tasimelteon combination cyp1a2 strong inhibitors,['NEUROLOGY (189) ']
U-2149 ,treatment non-24 hour sleep-wake disorder administering tasimelteon,['NEUROLOGY (189) ']
U-1710 ,treatment non-24-hour sleep-wake disorder avoiding use tasimelteon combination fluvoxamine,['NEUROLOGY (189) ']
U-1934 ,treatment non-24-hour sleep-wake disorder avoiding use tasimelteon combination strong cyp1a2 inhibitor,['NEUROLOGY (189) ']
U-1486 ,treatment non-24-hour sleep-wake disorder,['NEUROLOGY (189) ']
U-2085 ,treatment non-24-hour sleep-wake disorder avoiding use tasimelteon combination rifampin,['NEUROLOGY (189) ']
U-2147 ,treatment non-24 hour sleep-wake disorder orally administering 20mg tasimelteon daily bedtime,['NEUROLOGY (189) ']
U-1998 ,"treating hr-pos., her2-neg. advanced metastatic breast cancer palbociclib combo aromatase inhibitor initial endocrine based therapy postmenopausal women fulvestrant women disease progression endocrine therapy",['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-1684 ,treatment chronic lymphocytic leukemia,['ONCOLOGY (263) ']
U-1946 ,treatment small lymphocytic lymphoma,['ONCOLOGY (263) ']
U-2241 ,treatment small lymphocytic lymphoma 17p deletion,['ONCOLOGY (263) ']
U-2242 ,treatment chronic lymphocytic leukemia 17p deletion,['ONCOLOGY (263) ']
U-1650 ,treatment waldenstrom's macroglobulinemia,['FAMILY MEDICINE (624) ']
U-1456 ,treatment mantle cell lymphoma,['HEMATOLOGY (135) ']
U-1947 ,treatment marginal zone lymphoma,['HEMATOLOGY (135) ']
U-1491 ,treatment chronic lymphocytic leukemia,['ONCOLOGY (263) ']
U-2219 ,treatment chronic small lymphocytic leukemia,['ONCOLOGY (263) ']
U-1683 ,treatment chronic lymphocytic leukemia 17p deletion,['ONCOLOGY (263) ']
U-1745 ,treatment patients waldenstrom's macroglobulinemia,['FAMILY MEDICINE (624) ']
U-2150 ,treatment chronic graft-versus-host disease,['FAMILY MEDICINE (624) ']
U-2159 ,treatment chronic lymphocytic leukemia/small lymphocytic lymphoma,['ONCOLOGY (263) ']
U-2228 ,treatment small lymphocytic leukemia,['ONCOLOGY (263) ']
U-1995 ,treatment tardive dyskinesia,['NEUROLOGY (189) ']
U-1316 ,dosing regimen treatment hypercholesterolemia hyperlipidemia patients homozygous familial hypercholesterolemia using least three step-wise increasing doses,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1317 ,"treatment hypercholesterolemia, hyperlipidemia hyperlipoproteinemia patients homozygous familial hypercholesterolemia",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1318 ,treatment hypercholesterolemia decreasing amount activity microsomal triglyceride transfer protein patients homozygous familial hypercholesterolemia,['GENETIC DISEASE (61) ']
U-1851 ,dosing regimen treatment hypercholesterolemia hyperlipidemia patients homozygous familial hypercholesterolemia using least three step-wise increasing doses,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1695 ,method treating thyroid carcinoma including differentiated thyroid cancer,['ONCOLOGY (263) ']
U-1278 ,method treating irritable bowel syndrome constipation adults,['GASTROENTEROLOGY (105) ']
U-1516 ,method treating chronic idiopathic constipation adult patients.,['GASTROENTEROLOGY (105) ']
U-1515 ,method treating irritable bowel syndrome constipation adult patients.,['FAMILY MEDICINE (624) ']
U-1634 ,treatment brca mutated ovarian cancer using parp inhibitor,['ONCOLOGY (263) ']
U-2434 ,use combination lenalidomide dexamethasone treatment patients multiple myeloma received least one prior therapy,['FAMILY MEDICINE (624) ']
U-1843 ,treatment psychosis,['FAMILY MEDICINE (624) ']
U-1844 ,treatment parkinson's disease psychosis,['NEUROLOGY (189) ']
U-1845 ,treatment psychosis symptom thereof,['FAMILY MEDICINE (624) ']
U-1846 ,treatment neurodegenerative disease symptom thereof,['FAMILY MEDICINE (624) ']
U-1974 ,treatment hallucinations delusions associated parkinson's disease psychosis,['NEUROLOGY (189) ']
U-1722 ,treatment basal cell carcinoma,['ONCOLOGY (263) ']
U-1677 ,treatment idiopathic pulmonary fibrosis (ipf),['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1467 ,method treating hepatitis c,['IMMUNOLOGY (216) ']
U-1361 ,use pomalidomide preventing exposure fetus contraindicated individual pomalidomide,['FAMILY MEDICINE (624) ']
U-1360 ,use pomalidomide treatment multiple myeloma,['FAMILY MEDICINE (624) ']
U-2254 ,use pomalidomide dexamethasone patients multiple myeloma least two prior therapies including lenalidomide proteasome inhibitor demonstrated disease progression within 60 days completing last therapy,['HEMATOLOGY (135) ']
U-1931 ,prophylaxis treatment venous arterial thrombotic disease,['FAMILY MEDICINE (624) ']
U-1759 ,method reversing anticoagulant effect dabigatran using idarucizumab,['FAMILY MEDICINE (624) ']
U-1210 ,use revlimid (lenalidomide) preventing exposure fetus contraindicated individual revlimid (lenalidomide),['FAMILY MEDICINE (624) ']
U-1982 ,use revlimid (lenalidomide) treatment patients transfusion-dependent anemia due low-or intermediate-1-risk myelodysplastic syndromes associated deletion 5q abnormality without additional cytogenetic abnormalities,['HEMATOLOGY (135) ']
U-1983 ,"use revlimid (lenalidomide) treatment patients mantle cell lymphoma whose disease relapsed progressed two prior therapies, one included bortezomib",['HEMATOLOGY (135) ']
U-1984 ,"use revlimid (lenalidomide) treatment patients multiple myeloma, combination dexamethasone",['FAMILY MEDICINE (624) ']
U-1249 ,treatment male patient disease condition responsive teratogenic drug,['FAMILY MEDICINE (624) ']
U-1985 ,"use revlimid (lenalidomide) treatment patients multiple myeloma, maintenance following autologous hematopoietic stem cell transplantation (auto-hsct)",['ONCOLOGY (263) ']
U-1986 ,"use revlimid (lenalidomide) treatment patients multiple myeloma, combination dexamethasone, wherein patients received previous treatment multiple myeloma",['FAMILY MEDICINE (624) ']
U-2007 ,"treatment adult patients newly diagnosed acute myeloid leukemia (aml) flt3 mutation-positive, combination standard cytarabine daunorubicin induction cytarabine consolidation chemotherapy",['ONCOLOGY (263) ']
U-2008 ,"treatment adult patients aggressive systemic mastocytosis (asm), systemic mastocytosis associated hematological neoplasm (sm-ahn), mast cell leukemia (mcl)",['ONCOLOGY (263) ']
U-1154 ,"treatment protein kinase related disorders, gastrointestinal stromal tumors, renal cell carcinoma advanced pancreatic neuroendocrine tumors, sunitinib",['ONCOLOGY (263) ']
U-2171 ,adjuvant treatment adult patients high risk recurrent rcc following nephrectomy,['FAMILY MEDICINE (624) ']
U-883 ,treatment gastrointestinal stromal tumor sunitinib,['GASTROENTEROLOGY (105) ']
U-1406 ,treatment melanoma,['FAMILY MEDICINE (624) ']
U-2031 ,tafinlar indicated single agent treatment patients unresectable metastatic melanoma braf v600e mutation detected fda-approved test,['ONCOLOGY (263) ']
U-2032 ,"tafinlar indicated, combination trametinib, treatment patients unresectable metastatic melanoma braf v600e v600k mutations, detected fda-approved test.",['DERMATOLOGY (109) ']
U-2296 ,"tafinlar indicated, combination trametinib, adjuvant treatment patients melanoma braf v600e v600k mutations, detected fda-approved test, involvement lymph node(s), following complete resection",['DERMATOLOGY (109) ']
U-1713 ,tafinlar combination trametinib treatment patients unresectable metastatic melanoma,['ONCOLOGY (263) ']
U-2297 ,improvement glycemic control type 2 diabetes patients administering starting dose 10 mcg 14 days increasing maintenance dose 20 mcg day 15,['ENDOCRINOLOGY (229) ']
U-2298 ,"tafinlar indicated, combination trametinib, treatment patients locally advanced metastatic anaplastic thyroid cancer (atc) braf v600e mutation satisfactory locoregional treatment options",['ONCOLOGY (263) ']
U-2026 ,"tafinlar(r) indicated, combination trametinib, treatment patients unresectable metastatic melanoma braf v600e v600k mutations, detected fda-approved test.",['DERMATOLOGY (109) ']
U-2027 ,"tafinlar(r) indicated, combination trametinib, treatment patients metastatic non-small cell lung cancer (nsclc) braf v600e mutation detected fda-approved test.",['ONCOLOGY (263) ']
U-1811 ,treatment patients unresectable metastatic melanoma braf v600e mutations confirming presence braf v600e mutation,['DERMATOLOGY (109) ']
U-836 ,method treatment leukemias,['FAMILY MEDICINE (624) ']
U-1374 ,treatment philadelphia chromosome positive chronic myeloid leukemia (ph+cml),['ONCOLOGY (263) ']
U-1407 ,treatment newly diagnosed philadelphia chromosome positive chronic myeloid leukemia (ph + cml),['ONCOLOGY (263) ']
U-2346 ,treatment human smallpox disease caused variola virus adults pediatric patients weighing least 13 kg,['IMMUNOLOGY (216) ']
U-2472 ,"method treating neuroblastoma, glioma, thyroid, breast cancer solid tumors exhibit ntrk gene fusion",['ONCOLOGY (263) ']
U-2474 ,method treating solid tumors exhibit ntrk gene fusion surgical resection,['ONCOLOGY (263) ']
U-2469 ,method treating cancerous solid tumors,['ONCOLOGY (263) ']
U-2470 ,method treating solid tumors exhibit ntrk gene fusion,['ONCOLOGY (263) ']
U-2475 ,method treating solid tumors exhibit ntrk gene fusion pediatric patient,['ONCOLOGY (263) ']
U-2160 ,management osteoarthritis pain administering 5 mg meloxicam,['NEUROLOGY (189) ']
U-2165 ,management osteoarthritis pain administering 10 mg meloxicam,['NEUROLOGY (189) ']
U-1750 ,treatment schizophrenia and/or acute manic mixed episodes associated bipolar disorder cariprazine,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-727 ,treatment attention deficit hyperactivity disorder (adhd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1034 ,treatment attention deficit hyperactivity disorder (adhd) adults,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-842 ,indicated treatment attention-deficit/hyperactivity disorder (adhd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1179 ,treatment cancer mediated anaplastic lymphoma kinase (alk),['ONCOLOGY (263) ']
U-1281 ,treatment patients metastatic castration-resistant prostate cancer previously received docetaxel,['ONCOLOGY (263) ']
U-1588 ,treatment patients metastatic castration-resistant prostate cancer (crpc).,['FAMILY MEDICINE (624) ']
U-2345 ,treatment patients castration-resistant prostate cancer (crpc),['FAMILY MEDICINE (624) ']
U-88 ,treatment moderate plaque psoriasis,['DERMATOLOGY (109) ']
U-193 ,psoriasis,['DERMATOLOGY (109) ']
U-742 ,twice daily topical treatment moderate severe plaque psoriasis.,['DERMATOLOGY (109) ']
U-1408 ,treatment plaque psoriasis patients 18 years age older,['DERMATOLOGY (109) ']
U-1858 ,treatment plaque psoriasis,['DERMATOLOGY (109) ']
U-540 ,treatment fungal infections,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1959 ,topical treatment persistent facial erythema associated rosacea adults 1% oxymetazoline hydrochloride cream,['DERMATOLOGY (109) ']
U-2306 ,daily topical treatment persistent facial erythema associated rosacea adults 1% oxymetazoline hydrochloride cream,['DERMATOLOGY (109) ']
U-805 ,treatment impetigo due staphylococcus aureus streptococcus pyogenes,['DERMATOLOGY (109) ']
U-2366 ,treatment liver disease nutrition patients age 12,['FAMILY MEDICINE (624) ']
U-2367 ,use patients parenteral nutrition associated cholestasis parenteral nutrition associated liver disease,['NEUROLOGY (189) ']
U-1741 ,prevention delayed nausea vomiting associated emetogenic cancer chemotherapy,['ONCOLOGY (263) ']
U-1769 ,treatement pain transmucosal delivery buprenorphine,['NEUROLOGY (189) ']
U-1087 ,detection non-muscle invasive papillary cancer bladder photodynamic cystoscopy,['ONCOLOGY (263) ']
U-2250 ,detection carcinoma bladder photodynamic cystoscopy,['ONCOLOGY (263) ']
U-2220 ,method diagnosis adult growth hormone deficiency measuring level growth hormone oral administration macimorelin,['ENDOCRINOLOGY (229) ']
U-2310 ,cleansing colon preparation colonoscopy adults,['NEUROLOGY (189) ']
U-2095 ,mitosol antimetabolite indicated adjunct ab externo glaucoma surgery. intended topical application site glaucoma filtration surgery,['OPHTHALMOLOGY (56) ']
U-2151 ,method treating pain inflammation injectable controlled sustained release formulation triamcinolone acetonide,['NEUROLOGY (189) ']
U-543 ,treatment schizophrenia,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1632 ,"treatment schizophrenia, efficacy treating acute episodes schizophrenia",['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1633 ,use aripiprazole extended release injectable suspension treating acute episodes schizophrenia,['FAMILY MEDICINE (624) ']
U-1530 ,use aripiprazole extended release injectable suspension,['ENDOCRINOLOGY (229) ']
U-493 ,treatment type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-2139 ,treatment type 2 diabetes mellitus combination exenatide,['ENDOCRINOLOGY (229) ']
U-654 ,"lowering plasma glucagon subject need thereof, including one type 2 diabetes, administering exendin analog, exendin-4",['ENDOCRINOLOGY (229) ']
U-2288 ,treatment type 2 diabetes mellitus exenatide add-on basil insulin basal insulin plus metformin therapy,['ENDOCRINOLOGY (229) ']
U-1223 ,method treating type 2 diabetes using sustained-release composition containing exenatide,['ENDOCRINOLOGY (229) ']
U-1313 ,adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-412 ,treatment type 2 diabetes,['FAMILY MEDICINE (624) ']
U-1522 ,"treatment type 2 diabetes mellitus patient, wherein glycemic control (hba1c < 7.0%) achievable using one insulin, metformin, pioglitazone, rosiglitazone",['ENDOCRINOLOGY (229) ']
U-2154 ,reducing fasting plasma glucose human need thereof using sustained-release composition containing exendin-4,['FAMILY MEDICINE (624) ']
U-2155 ,reducing body weight human need thereof using sustained-release composition containing exendin-4,['FAMILY MEDICINE (624) ']
U-2156 ,reducing hba1c human need thereof using sustained-release composition containing exendin-4,['FAMILY MEDICINE (624) ']
U-2363 ,administration risperidone,['FAMILY MEDICINE (624) ']
U-1629 ,method treating acromegaly,['ENDOCRINOLOGY (229) ']
U-1546 ,use treatment malignant hyperthermia conjunction appropriate supportive measures prevention malignant hyperthermia patients high risk.,['FAMILY MEDICINE (624) ']
U-1434 ,treatment pancreatic cancer,['ONCOLOGY (263) ']
U-1092 ,treatment breast cancer,['ONCOLOGY (263) ']
U-1290 ,treatment lung cancer,['FAMILY MEDICINE (624) ']
U-1117 ,treatment breast cancer,['ONCOLOGY (263) ']
U-1916 ,prevention nausea vomiting associated chemotherapy (cinv),['ONCOLOGY (263) ']
U-2312 ,treatment hyperkalemia adults,['FAMILY MEDICINE (624) ']
U-1736 ,treatment thrombocytopenia adult pediatric patients 1 year older chronic immune (idiopathic) thrombocytopenia (itp),['HEMATOLOGY (135) ']
U-1286 ,method reducing risk pulmonary edema patients need treatment inhaled nitric oxide,['FAMILY MEDICINE (624) ']
U-1226 ,method providing predetermined concentration nitric oxide patient,['FAMILY MEDICINE (624) ']
U-1453 ,method treating hypoxic respiratory failure verifying gas information nitric oxide prior delivery patient,['PEDIATRICS/NEONATOLOGY (124) ']
U-1824 ,method providing nitric oxide therapy patient verifying gas information nitric oxide prior delivery patient,['FAMILY MEDICINE (624) ']
U-1823 ,method providing nitric oxide therapy patient compensating long-term sensitivity drift electrochemical gas sensors used systems delivering therapeutic nitric oxide patient,['FAMILY MEDICINE (624) ']
U-2148 ,method providing nitric oxide therapy patient measuring displaying indication calculated delivery concentration nitiric oxide compared desired delivery concentration nitric oxide,['FAMILY MEDICINE (624) ']
U-1033 ,topical treatment acne vulgaris,['FAMILY MEDICINE (624) ']
U-804 ,treatment actinic keratoses photodynamic therapy,['FAMILY MEDICINE (624) ']
U-1078 ,treatment acne,['FAMILY MEDICINE (624) ']
U-1222 ,inhibit proliferative activity neoplastic cells,['FAMILY MEDICINE (624) ']
U-1440 ,use ingenol mebutate treat actinic keratosis,['ONCOLOGY (263) ']
U-2138 ,topical treatment actinic keratosis face scalp using one treatment course ingenol mebutate,['FAMILY MEDICINE (624) ']
U-1427 ,alkylating drug indicated topical treatment stage ia ib mycosis fungoides-type cutaneous t-cell lymphoma patients received prior skin directed therapy,['ONCOLOGY (263) ']
