URL,Drug
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Savaysa (edoxaban); Daiichi Sankyo;
                    For the treatment of deep vein thrombosis, pulmonary embolism and risk of stroke and embolism due to atrial fibrillation, Approved January 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Uptravi (selexipag); Actelion Pharmaceuticals;
                    For the treatment of pulmonary arterial hypertension, Approved December 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Epanova (omega-3-carboxylic acids); AstraZeneca;
                    For the treatment of severe hypertriglyceridemia, Approved May 2014"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Zontivity (vorapaxar); Merck;
                    For the reduction of thrombotic cardiovascular events, Approved May 2014"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Adempas (riociguat); Bayer Healthcare Pharmaceuticals;
                    For the treatment of Chronic Thromboembolic Pulmonary Hypertension and Pulmonary Arterial Hypertension, Approved October 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Invokana (canagliflozin); Janssen Pharmaceuticals;
                    For the treatment of type II diabetes and to reduce the risk of cardiovascular events in type II diabetics, Approved April 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Kynamro (mipomersen sodium); Genzyme;
                    For the treatment of homozygous familial hypercholesterolemia, Approved January 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Liptruzet (ezetimibe and atorvastatin); Merck;
                    For the treatment of hyoerlipidemia, Approved May 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Nymalize (nimodipine); Arbor Pharmaceuticals;
                    For the reduction of incidence and severity of ischemic deficits following subarachnoid hemorrhage, Approved May 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Opsumit (macitentan); Actelion Pharmaceuticals;
                    For the treatment of pulmonary arterial hypertension, Approved October 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Varithena (polidocanol injectable foam); BTG plc;
                    For the treatment of varicose veins, November 2013"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Eliquis (apixaban); Bristol-Myers Squibb;
                    For the prevention of stroke and systemic embolism resulting from nonvalvular atrial fibrillation, Approved December 2012"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Juxtapid (lomitapide); Aegerion Pharmaceuticals;
                    For the treatment of homozygous familial hypercholesterolemia, Approved December of 2012"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Vascepa (icosapent ethyl); Amarin Pharmaceuticals;
                    For the treatment of hypertriglyceridemia, Approved July of 2012"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Brilinta (ticagrelor); AstraZeneca;
                    For the reduction of thrombotic events in patients with acute coronary syndrome, Approved July 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Edarbi (azilsartan medoxomil); Takeda;
                    For the treatment of hypertension, Approved February 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Edarbyclor (azilsartan medoxomil and chlorthalidone); Takeda;
                    For the treatment of hypertension, Approved December of 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Rituxan (rituximab); Biogen IDEC, Genentech;
                    For the treatment of Wegener’s Granulomatosis and Microscopic Polyangiitis , Approved April 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Xarelto (rivaroxaban); Janssen Pharmaceuticals;
                    For the prophylaxis of deep vein thrombosis during knee or hip replacement surgery, Approved July 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Xarelto (rivaroxaban); Janssen Pharmaceuticals;
                    For the reduction in the risk of stroke and systemic embolism resulting from atrial fibrillation, Approved November 2011"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Amturnide (aliskiren + amlodipine + hydrochlorothiazide); Novartis;
                    For the treatment of uncontrolled hypertension, Approved December 2010"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Pradaxa (dabigatran etexilate mesylate); Boehringer Ingelheim;
                    For the risk reduction of stroke and embolism due to atrial fibrillation, Approved October 2010"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tekamlo (aliskiren + amlodipine); Novartis;
                    For the treatment of hypertension, Approved August 2010"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tribenzor (olmesartan medoxomil + amlodipine + hydrochlorothiazide); Daiichi Sankyo;
                    For the treatment of hypertension, Approved July 2010"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Adcirca (tadalafil); Eli Lilly;
                    For the treatment of pulmonary arterial hypertension, Approved May 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Atryn (antithrombin recombinant lyophilized powder for reconstitution); GTC BioTherapeutics;
                    For the prevention of peri-operative and peri-partum thromboembolic events, Approved January 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Efient (prasugrel); Eli Lilly;
                    for the prevention of thrombotic cardiovascular complications in acute coronary syndromes, Approved July 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Livalo (pitavastatin); Kowa Company;
                    For the treatment of primary hyperlipidemia and mixed dyslipidemia, Approved August 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Multaq (dronedarone); Sanofi-aventis;
                    For the treatment of paroxysmal or persistent atrial fibrillation or atrial flutter, Approved July 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tyvaso (treprostinil); United Therapeutics;
                    For the treatment of pulmonary arterial hypertension, Approved July 2009"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Cleviprex (clevidipine); The Medicines Company;
                    For the treatment of hypertension when oral therapy is not feasible or not desirable, Approved August 2008"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Trilipix (fenofibric acid); Abbott Laboratories;
                    For the treatment of dyslipidemia, hypertriglyceridemia and hyperlipidemia, Approved December 2008"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Azor (amlodipine besylate; olmesartan medoxomil); Daiichi Sankyo;
                    For the treatment of hypertension, Approved September 2007"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Fenofibrate; LifeCycle Pharma;
                    For the treatment of hyperlipidemia, dyslipidemia and hypertriglyceridemia, Approved August 2007"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Letairis (ambrisentan); Gilead;
                    For the treatment of pulmonary arterial hypertension, Approved June 2007"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Soliris (eculizumab); Alexion;
                    For the treatment of PNH, aHUS and generalized Myasthenia Gravis , Approved March 2007"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tekturna (aliskiren); Novartis;
                    For the treatment of hypertension, Approved March 2007"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Ranexa (ranolazine); CV Therapeutics;
                    For the treatment of chronic angina in patients failing first-line therapy, Approved January 2006"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"BiDil (isosorbide dinitrate/hydralazine hydrochloride); NitroMed;
                    For the treatment of heart failure in black patients, Approved June, 2005"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Caduet (amlodipine/atorvastatin); Pfizer;
                    For the treatment of hypertension, chronic stable angina and vasospastic angina, Approved January 2004"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Crestor (rosuvastatin  calcium); AstraZeneca;
                    For the treatment of primary hypercholesterolemia (heterozygous
familial and nonfamilial) and mixed dyslipidemia, Approved August 2003"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Levitra (vardenafil); Bayer, GlaxoSmithKline;
                    For the treatment of erectile dysfunction related to sexual activity in men, Approved September 2003"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Altocor (lovastatin) Extended-Release Tablets; Andrx;
                    Oral tablets for the adjuctive treatment of hypercholesterolemia, Approved June 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Benicar; Daiichi Sankyo;
                    Oral tablet for the treatment of hypertension, Approved April 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Imagent (perflexane lipid microspheres); Alliance Pharmaceutical;
                    Ultrasound contrast agent for improved imaging of the heart, Approved June 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Inspra (eplerenone tablets); Pharmacia & Upjohn;
                    Oral tablets for the treatment of high blood pressure., Approved September 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Plavix (clopidogrel bisulfate); Sanofi-aventis;
                    For the treatment of acute coronary syndrome, Approved February 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Remodulin (treprostinil); United Therapeutics;
                    For the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms, Approved May 2002"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Advicor (extended-release niacin/lovastatin); Kos Pharmaceuticals;
                    For the treatment of cholesterol disorders, Approved December 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Diovan (valsartan); Novartis;
                    Oral capsules and tablets for the treatment of hypertension, Approved January 1997 (capsules); July 2001 (tablets)"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Natrecor (nesiritide); Scios;
                    For the treatment of patients with acutely decompensated congestive heart failure, Approved August 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Teveten (eprosartan mesylate plus hydrochlorothiazide); Unimed Pharmaceuticals;
                    Tablets for the treatment of hypertension, Approved November 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tricor (fenofibrate); Abbott Laboratories;
                    For the treatment of primary hypercholesterolemia, mixed lipidemia and hypertriglyceridemia, Approved September 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Angiomax (bivalirudin); The Medicines Company;
                    For patients with unstable angina undergoing percutaneous transluminal coronary angioplasty (PTCA), Approved December 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Argatroban Injection; Texas Biotechnology Corporation, SmithKline Beecham;
                    Anticoagulant for prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia., Approved June 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Atacand (candesartan cilexetil); AstraZeneca;
                    For the treatment of hypertension, Approved September 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Betapace AF Tablet; Berlex Laboratories;
                    For treatment of the irregular heartbeats in patients with atrial fibrillation, Approved February 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Diltiazem HCL, Extended-Release Capsules; Biovail Laboratories;
                    For the reduction of high blood pressure, Approved January 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Innohep (tinzaparin sodium) injectable; DuPont Merck Pharmaceutical Company;
                    For the treatment of acute symptomatic deep vein thrombosis, Approved July 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Lescol XL (fluvastatin sodium) tablet, extended release; Novartis;
                    For the use as an adjunct to diet to reduce elevated total cholesterol, Approved October 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Micardis HCT (telmisartan and hydrochlorothiazide); Boehringer Ingelheim;
                    For the treatment of hypertension, Approved November 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Nitrostat (nitroglycerin) Tablets; Parke-Davis;
                    For the acute relief of an attack or acute prophylaxis of angina pectoris due to coronary artery disease., Approved May 2000"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Lescol (fluvastatin sodium) capsules, Rx; Novartis;
                    Treatment for  the reduction of triglycerides, Approved June 1999"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Mevacor (lovastatin) tablets; Merck;
                    Treatment for primary prevention of coronary heart disease, Approved March 1999"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Niaspan; Kos Pharmaceuticals;
                    Niacin extended-release tablets, October 28, 1999"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Agrylin (anagrelide HCL); Roberts Pharmaceutical;
                    Treatment for Thrombocythemia, Approved December 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"CellCept; Roche;
                    Treatment for the prevention of organ rejection inpatients undergoing heart transplants, Approved February 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Diovan HCT (valsartan); Novartis;
                    Treatment for hypertension, Approved March 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Integrilin; COR Therapeutics, Key Pharmaceuticals;
                    Injection of eptifibatide, Approved May 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Micardis (telmisartan); Boehringer Ingelheim;
                    Treatment for Hypertension, Approved November 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Rythmol; Knoll Pharmaceutical;
                    Treatment for paroxysmal atrial fibrillation, Approved January 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tiazac (diltiazem hydrochloride); Forest Laboratories;
                    Treatment for chronic stable angina, Approved February 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tricor (fenofibrate); Abbott Laboratories;
                    Treatment for very high triglyceride levels, Approved February 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Viagra; Pfizer;
                    Treatment for impotence, Approved March 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Baycol (cerivastatin sodium); Bayer;
                    Treatment for high cholesterol, Approved June 1997; withdrawn 8/8/01"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Captopril and hydrochlorotiazide; Mylan Laboratories;
                    Treatment for hypertension, Approved May 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Cardizem (R)  (Diltiazem HC1 for injection) Monvial (R); Hoechst Marion Roussel;
                    Delivery system for Monovial, Approved September 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Corlopam; Neurex;
                    Treatment for severe high blood pressure, Approved September 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Diovan (valsartan); Ciba Pharmaceuticals;
                    Treatment for hypertension, Approved January 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"DynaCirc CR; Novartis;
                    Treatment for hypertension, Approved February 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"EDEX; Schwarz Pharma;
                    Treatment for erectile dysfunction, Approved June 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Lescol (fluvastatin sodium); Novartis;
                    Treatment for coronary atherosclerosis, Approved September 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Lexxel (enalapril maleate-felodipine ER); Astra Merck;
                    Treatment for hypertension, Approved January 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Microzide (hydrochlorothiazide); Watson Pharmaceuticals;
                    Treatment for mild-to moderate hypertension, Approved January 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Normiflo; Wyeth;
                    Treatment for deep venous thrombosis, Approved May 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Pentoxifylline; Faulding, Mylan Laboratories;
                    Generic equivalent of Trental, Approved July 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Pindolol; Teva Pharmaceutical;
                    Generic equivalent of  Visken, Approved April 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Plavix (clopidogrel bisulfate); Sanofi-aventis, Bristol-Myers Squibb;
                    Treatment for cardiac atherosclerotic events, Approved November 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Posicor; Roche;
                    Treatment for hypertension and chronic stable angina pectoris, Approved June 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"ReoPro; Centocor Ortho Biotech;
                    Treatment for cardiac ischemic complications, Approved November 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"REPRONEX(menotropins for injection, USP); Ferring Pharmaceuticals;
                    Generic equivalent of Pergonal, Approved February 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Teveten (eprosartan mesylate); SmithKline Beecham;
                    Treatment for hypertension, Approved December 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Verapamil; IVAX;
                    Generic equivalent of Knoll's Isoptin SR and Searle's Calan SR, Approved December 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Warfarin Sodium tablets; Barr Laboratories;
                    Generic equivalent of Coumadin, Approved March 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Zocor; Merck;
                    Treatment for high cholesterol, Approved November 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Covera-HS (verapamil); GD Searle, Alza;
                    Treatment for hypertension and angina, Approved January 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Lipitor (atorvastatin calcium); Pfizer;
                    For the prevention of cardiovascular disease and treatment of hyperlipidemia and dyslipidemia, Approved December 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Mavik (trandolapril); Knoll Pharmaceutical;
                    Treatment for hypertension, Approved May 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Muse; Vivus;
                    Treatment for impotence, Approved October 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Pravachol (pravastatin sodium); Bristol-Myers Squibb;
                    Treatment for cholesterol-lowering, Approved July 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Pravachol (pravastatin sodium); Bristol-Myers Squibb;
                    Treatment for heart disease, Approved April 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"ProAmatine (midodrine); Roberts Pharmaceutical;
                    Treatment for hypotension, Approved September 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Procanbid (procainamide hydrochloride extended-release tablets); Warner-Lambert;
                    Treatment for ventricular arrhythmias, Approved January 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Retavase (reteplase); Boehringer Mannheim Corporation;
                    Treatment for patients suffering from heart attack, Approved November 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Teczem (enalapril maleate/diltiazem malate); Hoechst Marion Roussel;
                    Treatment for hypertension, Approved October 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Tiazac (diltiazem hydrochloride); Forest Laboratories;
                    Treatment for hypertension, Approved February 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Visipaque (iodixanol); Nycomed;
                    Diagnostic contrast agent, Approved April 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Androderm (Testosterone Transdermal System); TheraTech;
                    Treatment for primary and secondary hypogonadism, Approved on September 29, 1995"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Corvert Injection (ibutilide fumarate injection); Pharmacia & Upjohn;
                    Treatment for irregular contractions of the heart, Approved December 1995"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Prinivil or Zestril (Lisinopril); Merck, Zeneca;
                    Treatment for hypertension, heart failure, and acute myocardial infarction, Approved November 24, 1995"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Toprol-XL (metoprolol succinate); AstraZeneca;
                    For the treatment of hypertension, angina pectoris and heart failure, Approved January 1995"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Arestin (minocycline hydrochloride); OraPharma;
                    For treatment of adult periodontitis, Approved February 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Periostat (doxycycline hyclate); CollaGenex  Pharmaceuticals;
                    Oral tablet for adjunctive treatment of adult periodontitis, Approved February 2001"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Atridox; Atrix Laboratories;
                    Treatment of chronic adult periodontitis, Approved January 1999"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Atridox; Atrix Laboratories;
                    Treatment for periodontal disease, Approved September 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Periostat (doxycycline hyclate); CollaGenex  Pharmaceuticals;
                    Treatment for periodontitis., Approved October 1998"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"Aphthasol; Block Drug Company;
                    Treatment for canker sores, Approved December 1997"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/2/dental-and-oral-health,"DentiPatch (lidocaine transoral delivery system); Noven Pharmaceuticals;
                    Dental anesthetic patch, Approved May 1996"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/3/dermatology,"Jeuveau (prabotulinumtoxinA-xvfs); Evolus;
                    For the improvement of glabellar lines, Approved February 2019"
