 Use Code,Use
U-2105 ,"TREATMENT OF DYSKINESIA IN PATIENTS WITH PARKINSON'S DISEASE RECEIVING IMMEDIATE RELEASE LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
U-2106 ,"TREATMENT OF DYSKINESIA IN PATIENTS WITH PARKINSON'S DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
U-2224 ,"TREATMENT OF DYSKINESIA AND INCREASING ON TIME WITHOUT TROUBLESOME DYSKINESIA IN PATIENTS WITH PARKINSON'S DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
U-2025 ,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER
U-539 ,TREATMENT OF MODERATE TO SEVERE DEMENTIA OF THE ALZHEIMER'S TYPE
U-1871 ,"TREATMENT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS WITH STAGE 3 OR 4 CHRONIC KIDNEY DISEASE USING CONTROLLED RELEASE, ORAL 25-HYDROXYVITAMIN D"
U-1872 ,USE OF SUSTAINED RELEASE 25-HYDROXYVITAMIN D IN TREATING PATIENTS HAVING 25-HYDROXYVITAMIN D INSUFFICIENCY OR DEFICIENCY
U-1873 ,ADMINISTRATION OF 25-HYDROXYVITAMIN D3 BY CONTROLLED RELEASE
U-1888 ,USE OF CONTROLLED RELEASE 25-HYDROXYVITAMIN D IN TREATING SECONDARY HYPERPARATHYROIDISM IN PATIENTS HAVING CHRONIC KIDNEY DISEASE
U-1920 ,USE OF EXTENDED RELEASE ORAL 25-HYDROXYVITAMIN D3 IN TREATING SECONDARY HYPERPARATHYROIDISM IN ADULT PATIENTS HAVING CHRONIC KIDNEY DISEASE STAGE 3 OR STAGE 4
U-2255 ,TREATING SECONDARY HYPERPARATHYROIDISM IN CHRONIC KIDNEY DISEASE WITH SUSTAINED RELEASE 25-HYDROXYVITAMIN D TO REDUCE THE PATIENT'S SERUM PARATHYROID HORMONE LEVEL AND THE SUSTAINED RELEASE IS OVER AT LEAST 10 HOURS
U-2256 ,"TREATING SECONDARY HYPERPARATHYROIDISM IN CHRONIC KIDNEY DISEASE WITH SUSTAINED RELEASE 25-HYDROXYVITAMIN D TO REDUCE THE PATIENT'S SERUM PARATHYROID HORMONE LEVEL AND CMAX IS REDUCED COMPARED TO BOLUS IV INJECTION AND IMMEDIATE-RELEASE, ORAL DOSING"
U-2257 ,"TREATING SHPT IN CKD WITH SUSTAINED RELEASE CALCIFEDIOL TO REDUCE SERUM PARATHYROID HORMONE LEVEL AND CHANGE IN SERUM CONCENTRATION OF CALCIFEDIOL IN DOSE INTERVAL IS REDUCED COMPARED TO BOLUS IV INJECTION AND IMMEDIATE-RELEASE, ORAL DOSING"
U-2258 ,"TREATING SECONDARY HYPERPARATHYROIDISM IN CKD WITH SUSTAINED RELEASE CALCIFEDIOL TO REDUCE THE PATIENT'S SERUM PARATHYROID HORMONE LEVEL AND CMAX24HR/C24HR IS REDUCED COMPARED TO BOLUS IV INJECTION AND IMMEDIATE-RELEASE, ORAL DOSING"
U-2259 ,"TREATING SECONDARY HYPERPARATHYROIDISM IN CKD WITH SUSTAINED RELEASE CALCIFEDIOL TO REDUCE THE PATIENT'S SERUM PARATHYROID HORMONE LEVEL AND TMAX IS INCREASED COMPARED TO BOLUS IV INJECTION AND IMMEDIATE-RELEASE, ORAL DOSING"
U-2274 ,"MAINTAINING SERUM 25-HYDROXYVITAMIN D AT A LEVEL OF AT LEAST 30 NG/ML WITH ORAL, SUSTAINED RELEASE 25-HYDROXYVITAMIN D"
U-1645 ,"TREATMENT OF PARKINSON'S DISEASE, POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-219 ,TREATMENT OF PARKINSON'S DISEASE
U-1646 ,"TREATMENT OF POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-1647 ,TREATMENT OF PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION
U-1649 ,TREATMENT OF POST-ENCEPHALITIC PARKINSONISM
U-1720 ,METHOD OF PROVIDING A THERAPEUTICALLY EFFECTIVE AND STABLE MEDIAN BLOOD PLASMA LEVEL OF LEVODOPA
U-1508 ,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG TERM OPIOID TREATMENT BY ORALLY ADMINISTERING A PLURALITY OF COMPOSITE SUBUNITS AS CLAIMED"
U-1556 ,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE"
U-2293 ,"USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF CANCER CHEMOTHERAPY, INCLUDING, BUT NOT LIMITED TO, HIGHLY EMETOGENIC CHEMOTHERAPY"
U-717 ,METHOD OF RELIEVING OR PREVENTING CONSTIPATION IN A HUMAN CONSTIPATED PATIENT
U-1392 ,METHOD OF RELIEVING OR PREVENTING CONSTIPATION IN A HUMAN PATIENT WITH OPIOID-INDUCED CONSTIPATION
U-1391 ,METHOD FOR TREATING OPIOID-INDUCED CONSTIPATION
U-739 ,METHOD FOR TREATING CONSTIPATION BY OPENING CIC CHANNELS IN A MAMMALIAN SUBJECT
U-1404 ,METHOD FOR TREATING CONSTIPATION IN A PATIENT WITH OPIOID-INDUCED CONSTIPATION BY OPENING CIC CHANNELS
U-1203 ,METHOD FOR RELIEVING OR TREATING CONSTIPATION IN A HUMAN CONSTIPATED PATIENT
U-1393 ,METHOD FOR RELIEVING OR TREATING CONSTIPATION IN A PATIENT WITH OPIOID-INDUCED CONSTIPATION
U-1214 ,METHOD FOR RELIEVING CONSTIPATION IN A HUMAN PATIENT THAT COMPRISES ADMINISTERING TO THE PATIENT A DOSAGE UNIT COMPRISING (I) 24MCG+/- 10% OF A DRUG SUBSTANCE AND (II) A PHARMACEUTICALLY SUITABLE EXCIPIENT
U-1394 ,METHOD FOR RELIEVING CONSTIPATION IN A PATIENT WITH OPIOID-INDUCED CONSTIPATION THAT COMPRISES ADMINISTERING TO THE PATIENT A DOSAGE UNIT COMPRISING(I)24MICROG+/- 10% OF A DRUG SUBSTANCE AND (II) A PHARMACEUTICALLY SUITABLE EXCIPIENT
U-1345 ,USE IN RELIEVING OR PREVENTING CONSTIPATION IN A HUMAN PATIENT WITH A DOSAGE UNIT COMPRISING 24MICROG+/- 10% OF A DRUG SUBSTANCE AND A PHARMACEUTICALLY SUITABLE EXCIPIENT
U-1395 ,USE IN RELIEVING OR PREVENTING CONSTIPATION IN A PATIENT WITH OPIOID-INDUCED CONSTIPATION WITH A DOSAGE UNIT COMPRISING 24MICROG +/- 10% OF A DRUG SUBSTANCE AND A PHARMACEUTICALLY SUITABLE EXCIPIENT
U-1520 ,METHOD FOR THE LONG TERM TREATMENT OF CHRONIC CONSTIPATION IN A HUMAN SUBJECT
U-874 ,METHOD OF TREATING CONSTIPATION IN A PATIENT WITH IRRITABLE BOWEL SYNDROME
U-873 ,METHOD OF TREATING CONSTIPATION IN A PATIENT WITH IRRITABLE BOWEL SYNDROME BY OPENING CHLORIDE CHANNELS (CIC)
U-1085 ,METHOD FOR TREATING IRRITABLE BOWEL SYNDROME AND METHOD FOR TREATING ABDOMINAL DISCOMFORT ASSOCIATED WITH IRRITABLE BOWEL SYNDROME
U-1202 ,METHOD FOR RELIEVING OR TREATING CONSTIPATION IN A PATIENT  WITH IRRITABLE BOWEL SYNDROME
U-1519 ,METHOD FOR THE LONG TERM TREATMENT OF CHRONIC CONSTIPATION IN A HUMAN SUBJECT WITH IRRITABLE BOWEL SYNDROME
U-1167 ,PROPHYLAXIS OF DEEP VEIN THROMBOSIS (DVT)
U-1502 ,PROPHYLAXIS OF PULMONARY EMBOLISM
U-2029 ,PREVENTING CONDITION CHARACTERIZED BY UNDESIRED THROMBOSIS
U-2030 ,PROPHYLAXIS OF VENOUS THROMBOSIS
U-2034 ,INHIBITING COAGULATION
U-2035 ,PROPHYLAXIS OF VENOUS THROMBOEMBOLISM
U-2439 ,"TREATMENT OF MENOPAUSE SYMPTOMS, INCLUDING VASOMOTOR SYMPTOMS"
U-2335 ,TREATMENT OF MELANOMA
U-2336 ,TREATMENT OF MELANOMA MEDIATED BY A B-RAF PROTEIN KINASE
U-2337 ,INDICATED IN COMBINATION WITH BINIMETINIB FOR THE TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-2334 ,TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-2145 ,TREATMENT OF ADULT PATIENTS WITH MANTLE CELL LYMPHOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
U-1571 ,TREATMENT OF GAUCHER DISEASE TYPE 1
U-1617 ,METHOD OF TREATING MEDULLARY THYROID CANCER
U-2412 ,FOR THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) AND/OR SMALL LYMPHOCYTIC LEUKEMIA (SLL)
U-2413 ,FOR THE TREATMENT OF PATIENTS WITH FOLLICULAR LYMPHOMA (FL)
U-901 ,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING
U-1743 ,FOR THE PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH CHEMOTHERAPY
U-2447 ,TREATMENT OF SEVERE HYPERTRIGLYCERIDEMIA (500 MG/DL) IN ADULT PATIENTS AS AN ADJUNCT TO DIET
U-1511 ,TREATMENT OF HYPERTRIGLYCERIDEMIA 
U-1600 ,DOSAGE MODIFICATION FOLLOWING ELEVATED LIVER ENZYMES IN TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-1609 ,CONTINUED DOSING OR DOSAGE MODIFICATION FOLLOWING ELEVATED LIVER ENZYMES IN TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-1601 ,DOSE ESCALATION OVER 14 DAYS FOR TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-1602 ,METHOD OF ADMINISTERING PIRFENIDONE CAPSULES TO TREAT A FIBROTIC CONDITION
U-1603 ,METHOD FOR ADMINISTERING PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE
U-1604 ,METHOD FOR ADMINISTERING PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH A STRONG INHIBITOR OF CYP1A2
U-1605 ,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY DISCONTINUING SMOKING OR BY DISCONTINUING OR AVOIDING ANOTHER STRONG CYP1A2 INDUCER
U-1606 ,METHOD FOR ADMINISTERING PIRFENIDONE WHILE AVOIDING OR DISCONTINUING CONCOMITANT USE OF A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME INVOLVED IN PIRFENIDONE METABOLISM
U-1607 ,METHOD OF ADMINISTERING A DOSAGE FORM THAT INCLUDES A GRANULATE FORMULATION OF PIRFENIDONE TO TREAT A  FIBROTIC CONDITION
U-2361 ,"METHOD OF ADMINISTERING A GRANULATE FORMULATION OF 5-METHYL-1-PHENYL-2-(1H)-PYRIDONE AS RECITED IN CLAIM 1, TO TREAT IDIOPATHIC PULMONARY FIBROSIS"
U-1608 ,DOSE ESCALATION OVER 14 DAYS FOR TREATMENT OF A FIBROSIS CONDITION
U-1610 ,CONTINUED DOSING OR DOSAGE MODIFICATION FOLLOWING ELVATED LIVER ENZYMES IN USE OF PIRFENIDONE
U-1611 ,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY DISCONTINUING SMOKING OR BY DISCONTINUING A STRONG CYP1A2 INDUCER
U-1612 ,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY AVOIDING SMOKING OR BY AVOIDING ANOTHER STRONG CYP1A2 INDUCER
U-1613 ,DOSAGE MODIFICATION IN TREATMENT WITH PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH CIPROFLOXACIN
U-1669 ,"TREATMENT OF MULTIPLE MYELOMA, IN COMBINATION WITH BORTEZOMIB AND DEXAMETHASONE"
U-2371 ,THE TREATMENT OF FABRY PATIENTS
U-2372 ,A METHOD OF REDUCING LEFT VENTRICULAR MASS INDEX (LVMI) IN A FABRY PATIENT BY ADMINISTERING MIGALASTAT
U-2373 ,A METHOD OF REDUCING PODOCYTE GLOBOTRIAOSYLCERAMIDE (GL-3) IN A FABRY PATIENT BY ADMINISTERING MIGALASTAT
U-1086 ,TREATMENT OF AUTOIMMUNE DISEASE
U-2315 ,TREATMENT OF MULTIPLE SCLEROSIS IN THE PEDIATRIC PATIENT POPULATION WITH 0.25 MG FINGOLIMOD
U-2477 ,TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH CYP1A2 STRONG INHIBITORS
U-2149 ,TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY ADMINISTERING TASIMELTEON
U-1710 ,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH FLUVOXAMINE
U-1934 ,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH A STRONG CYP1A2 INHIBITOR
U-1486 ,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER
U-2085 ,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH RIFAMPIN
U-2147 ,TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY ORALLY ADMINISTERING 20MG OF TASIMELTEON ONCE DAILY BEFORE BEDTIME
U-1998 ,"TREATING HR-POS., HER2-NEG. ADVANCED OR METASTATIC BREAST CANCER WITH PALBOCICLIB IN COMBO WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE BASED THERAPY IN POSTMENOPAUSAL WOMEN OR FULVESTRANT IN WOMEN WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
U-1684 ,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA
U-1946 ,TREATMENT OF SMALL LYMPHOCYTIC LYMPHOMA
U-2241 ,TREATMENT OF SMALL LYMPHOCYTIC LYMPHOMA WITH 17P DELETION
U-2242 ,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA WITH 17P DELETION
U-1650 ,TREATMENT OF WALDENSTROM'S MACROGLOBULINEMIA
U-1456 ,TREATMENT OF MANTLE CELL LYMPHOMA
U-1947 ,TREATMENT OF MARGINAL ZONE LYMPHOMA
U-1491 ,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA
U-2219 ,TREATMENT OF CHRONIC SMALL LYMPHOCYTIC LEUKEMIA
U-1683 ,TREATMENT FOR CHRONIC LYMPHOCYTIC LEUKEMIA WITH 17P DELETION
U-1745 ,FOR THE TREATMENT OF PATIENTS WITH WALDENSTROM'S MACROGLOBULINEMIA
U-2150 ,TREATMENT OF CHRONIC GRAFT-VERSUS-HOST DISEASE
U-2159 ,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA
U-2228 ,TREATMENT OF SMALL LYMPHOCYTIC LEUKEMIA
U-1995 ,TREATMENT OF TARDIVE DYSKINESIA
U-1316 ,A DOSING REGIMEN FOR THE TREATMENT OF HYPERCHOLESTEROLEMIA AND HYPERLIPIDEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA USING AT LEAST THREE STEP-WISE INCREASING DOSES
U-1317 ,"TREATMENT OF HYPERCHOLESTEROLEMIA, HYPERLIPIDEMIA AND HYPERLIPOPROTEINEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA"
U-1318 ,TREATMENT OF HYPERCHOLESTEROLEMIA BY DECREASING THE AMOUNT OR ACTIVITY OF MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA
U-1851 ,A DOSING REGIMEN FOR THE TREATMENT OF  HYPERCHOLESTEROLEMIA AND HYPERLIPIDEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA USING AT LEAST THREE STEP-WISE INCREASING DOSES
U-1695 ,METHOD FOR TREATING THYROID CARCINOMA INCLUDING DIFFERENTIATED THYROID CANCER
U-1278 ,METHOD OF TREATING IRRITABLE BOWEL SYNDROME WITH CONSTIPATION IN ADULTS
U-1516 ,METHOD OF TREATING CHRONIC IDIOPATHIC CONSTIPATION IN ADULT PATIENTS.
U-1515 ,METHOD OF TREATING IRRITABLE BOWEL SYNDROME WITH CONSTIPATION IN ADULT PATIENTS.
U-1634 ,TREATMENT OF BRCA MUTATED OVARIAN CANCER USING PARP INHIBITOR
U-2434 ,USE IN COMBINATION WITH LENALIDOMIDE AND DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
U-1843 ,TREATMENT OF PSYCHOSIS
U-1844 ,TREATMENT OF PARKINSON'S DISEASE PSYCHOSIS
U-1845 ,TREATMENT OF PSYCHOSIS OR A SYMPTOM THEREOF
U-1846 ,TREATMENT OF A NEURODEGENERATIVE DISEASE OR A SYMPTOM THEREOF
U-1974 ,TREATMENT OF HALLUCINATIONS AND DELUSIONS ASSOCIATED WITH PARKINSON'S DISEASE PSYCHOSIS
U-1722 ,TREATMENT OF BASAL CELL CARCINOMA
U-1677 ,TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS (IPF)
U-1467 ,METHOD OF TREATING HEPATITIS C
U-1361 ,USE OF POMALIDOMIDE WHILE PREVENTING THE EXPOSURE OF A FETUS OR OTHER CONTRAINDICATED INDIVIDUAL TO POMALIDOMIDE
U-1360 ,USE OF POMALIDOMIDE FOR THE TREATMENT OF MULTIPLE MYELOMA
U-2254 ,USE OF POMALIDOMIDE WITH DEXAMETHASONE FOR PATIENTS WITH MULTIPLE MYELOMA AFTER AT LEAST TWO PRIOR THERAPIES INCLUDING LENALIDOMIDE AND A PROTEASOME INHIBITOR AND DEMONSTRATED DISEASE PROGRESSION ON OR WITHIN 60 DAYS OF COMPLETING THE LAST THERAPY
U-1931 ,PROPHYLAXIS OR TREATMENT OF VENOUS AND ARTERIAL THROMBOTIC DISEASE
U-1759 ,METHOD OF REVERSING THE ANTICOAGULANT EFFECT OF DABIGATRAN USING IDARUCIZUMAB
U-1210 ,USE OF REVLIMID (LENALIDOMIDE) WHILE PREVENTING THE EXPOSURE OF A FETUS OR OTHER CONTRAINDICATED INDIVIDUAL TO REVLIMID (LENALIDOMIDE)
U-1982 ,USE OF REVLIMID (LENALIDOMIDE) FOR TREATMENT OF PATIENTS WITH TRANSFUSION-DEPENDENT ANEMIA DUE TO LOW-OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES ASSOCIATED WITH A DELETION 5Q ABNORMALITY WITH OR WITHOUT ADDITIONAL CYTOGENETIC ABNORMALITIES
U-1983 ,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA WHOSE DISEASE HAS RELAPSED OR PROGRESSED AFTER TWO PRIOR THERAPIES, ONE OF WHICH INCLUDED BORTEZOMIB"
U-1984 ,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, IN COMBINATION WITH DEXAMETHASONE"
U-1249 ,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG
U-1985 ,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
U-1986 ,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, IN COMBINATION WITH DEXAMETHASONE, WHEREIN THOSE PATIENTS HAVE NOT RECEIVED PREVIOUS TREATMENT FOR MULTIPLE MYELOMA"
U-2007 ,"TREATMENT OF ADULT PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) WHO ARE FLT3 MUTATION-POSITIVE, IN COMBINATION WITH STANDARD CYTARABINE AND DAUNORUBICIN INDUCTION AND CYTARABINE CONSOLIDATION CHEMOTHERAPY"
U-2008 ,"TREATMENT OF ADULT PATIENTS WITH AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM), SYSTEMIC MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGICAL NEOPLASM (SM-AHN), OR MAST CELL LEUKEMIA (MCL)"
U-1154 ,"TREATMENT OF PROTEIN KINASE RELATED DISORDERS, SUCH AS GASTROINTESTINAL STROMAL TUMORS, RENAL CELL CARCINOMA AND ADVANCED PANCREATIC NEUROENDOCRINE TUMORS, WITH SUNITINIB"
U-2171 ,ADJUVANT TREATMENT OF ADULT PATIENTS AT HIGH RISK OF RECURRENT RCC FOLLOWING NEPHRECTOMY
U-883 ,TREATMENT OF GASTROINTESTINAL STROMAL TUMOR WITH SUNITINIB
U-1406 ,TREATMENT OF MELANOMA
U-2031 ,TAFINLAR IS INDICATED AS A SINGLE AGENT FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST
U-2032 ,"TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST."
U-2296 ,"TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE ADJUVANT TREATMENT OF PATIENTS WITH MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST, AND INVOLVEMENT OF LYMPH NODE(S), FOLLOWING COMPLETE RESECTION"
U-1713 ,TAFINLAR IN COMBINATION WITH TRAMETINIB FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA
U-2297 ,IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES PATIENTS BY ADMINISTERING A STARTING DOSE OF 10 MCG FOR 14 DAYS AND INCREASING TO A MAINTENANCE DOSE OF 20 MCG ON DAY 15
U-2298 ,"TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
U-2026 ,"TAFINLAR(R) IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST."
U-2027 ,"TAFINLAR(R) IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST."
U-1811 ,TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E MUTATIONS AFTER CONFIRMING THE PRESENCE OF BRAF V600E MUTATION
U-836 ,A METHOD FOR THE TREATMENT OF LEUKEMIAS
U-1374 ,TREATMENT OF PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA (PH+CML)
U-1407 ,TREATMENT OF NEWLY DIAGNOSED PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA (PH + CML)
U-2346 ,TREATMENT OF HUMAN SMALLPOX DISEASE CAUSED BY VARIOLA VIRUS IN ADULTS AND PEDIATRIC PATIENTS WEIGHING AT LEAST 13 KG
